iter	Passed	Remaining
0	60	60011
1	62	31040
2	64	21455
3	66	16658
4	69	13761
5	71	11809
6	73	10419
7	75	9389
8	77	8583
9	80	7933
10	82	7401
11	84	6960
12	86	6578
13	88	6265
14	91	5983
15	93	5742
16	95	5523
17	97	5342
18	100	5172
19	102	5013
20	104	4867
21	106	4738
22	108	4619
23	110	4513
24	113	4417
25	115	4332
26	117	4243
27	119	4162
28	122	4085
29	124	4021
30	126	3954
31	129	3904
32	131	3852
33	134	3808
34	136	3757
35	138	3711
36	140	3663
37	143	3622
38	145	3580
39	147	3542
40	149	3503
41	152	3471
42	154	3434
43	156	3401
44	158	3368
45	161	3350
46	164	3334
47	167	3317
48	170	3299
49	172	3283
50	175	3265
51	178	3248
52	180	3226
53	182	3204
54	185	3190
55	188	3176
56	190	3159
57	193	3138
58	195	3121
59	197	3099
60	200	3083
61	202	3069
62	205	3057
63	208	3045
64	210	3032
65	213	3016
66	215	2999
67	217	2984
68	220	2972
69	222	2955
70	224	2940
71	227	2926
72	229	2914
73	231	2902
74	234	2888
75	236	2873
76	238	2860
77	241	2851
78	243	2840
79	245	2827
80	248	2817
81	250	2808
82	253	2798
83	255	2785
84	257	2775
85	259	2762
86	262	2753
87	264	2742
88	266	2731
89	269	2723
90	271	2713
91	273	2701
92	276	2692
93	278	2680
94	280	2670
95	282	2660
96	284	2651
97	287	2642
98	289	2632
99	291	2621
100	293	2612
101	295	2602
102	297	2594
103	300	2585
104	302	2577
105	304	2568
106	306	2559
107	308	2551
108	311	2543
109	313	2536
110	315	2528
111	317	2519
112	320	2512
113	322	2504
114	324	2496
115	326	2488
116	328	2480
117	330	2473
118	333	2470
119	336	2466
120	338	2462
121	342	2463
122	345	2460
123	347	2457
124	350	2454
125	353	2452
126	356	2451
127	359	2448
128	362	2445
129	365	2443
130	367	2440
131	370	2438
132	373	2437
133	376	2432
134	379	2428
135	381	2426
136	384	2423
137	387	2420
138	390	2417
139	392	2412
140	395	2406
141	397	2400
142	399	2395
143	402	2391
144	404	2386
145	407	2382
146	410	2379
147	412	2372
148	414	2368
149	417	2363
150	419	2358
151	421	2353
152	424	2348
153	426	2344
154	429	2340
155	431	2336
156	434	2332
157	436	2328
158	439	2323
159	441	2318
160	444	2314
161	446	2309
162	449	2306
163	451	2300
164	453	2295
165	456	2291
166	458	2286
167	460	2282
168	463	2277
169	465	2273
170	467	2268
171	470	2264
172	472	2260
173	475	2255
174	477	2250
175	479	2246
176	482	2241
177	484	2237
178	486	2233
179	489	2229
180	491	2225
181	494	2221
182	496	2217
183	498	2212
184	501	2208
185	503	2204
186	506	2202
187	509	2199
188	511	2194
189	513	2190
190	516	2187
191	518	2183
192	521	2179
193	523	2175
194	526	2172
195	528	2168
196	530	2164
197	533	2159
198	535	2155
199	537	2151
200	540	2149
201	543	2145
202	545	2142
203	547	2137
204	550	2134
205	552	2130
206	554	2126
207	557	2122
208	560	2121
209	562	2116
210	565	2114
211	567	2110
212	570	2106
213	572	2103
214	575	2099
215	577	2096
216	580	2093
217	582	2090
218	585	2086
219	588	2086
220	591	2084
221	594	2081
222	596	2079
223	599	2075
224	601	2072
225	604	2068
226	606	2065
227	608	2061
228	611	2059
229	613	2054
230	616	2052
231	618	2048
232	620	2043
233	623	2039
234	625	2035
235	627	2031
236	629	2028
237	632	2024
238	635	2022
239	637	2018
240	639	2014
241	641	2010
242	644	2006
243	646	2002
244	648	1999
245	651	1995
246	653	1992
247	655	1988
248	658	1985
249	660	1981
250	663	1978
251	665	1974
252	667	1971
253	670	1968
254	672	1965
255	674	1961
256	677	1959
257	680	1957
258	682	1953
259	685	1952
260	688	1949
261	691	1946
262	694	1945
263	696	1942
264	699	1939
265	701	1936
266	704	1932
267	706	1929
268	708	1926
269	711	1922
270	713	1919
271	715	1916
272	718	1912
273	720	1909
274	723	1907
275	726	1904
276	728	1900
277	730	1897
278	732	1894
279	735	1890
280	737	1888
281	740	1886
282	743	1882
283	745	1879
284	748	1877
285	750	1873
286	752	1870
287	755	1867
288	758	1865
289	760	1863
290	763	1860
291	765	1856
292	768	1853
293	771	1851
294	773	1848
295	776	1845
296	778	1842
297	780	1839
298	783	1836
299	786	1834
300	788	1831
301	791	1829
302	794	1826
303	796	1824
304	799	1821
305	801	1818
306	804	1815
307	806	1812
308	809	1809
309	811	1805
310	813	1802
311	816	1799
312	818	1796
313	821	1794
314	823	1791
315	826	1789
316	829	1788
317	832	1785
318	835	1784
319	838	1781
320	841	1779
321	843	1776
322	846	1774
323	850	1773
324	852	1771
325	855	1768
326	858	1766
327	860	1763
328	863	1760
329	866	1758
330	869	1756
331	872	1754
332	875	1752
333	878	1752
334	881	1749
335	883	1746
336	886	1744
337	889	1741
338	892	1740
339	895	1738
340	897	1735
341	900	1732
342	902	1729
343	905	1726
344	908	1724
345	910	1720
346	913	1718
347	915	1715
348	918	1712
349	920	1709
350	923	1708
351	926	1706
352	929	1704
353	932	1701
354	935	1699
355	938	1697
356	941	1695
357	944	1693
358	946	1690
359	949	1687
360	952	1685
361	954	1682
362	957	1680
363	960	1678
364	963	1675
365	966	1673
366	968	1670
367	971	1668
368	974	1666
369	977	1664
370	979	1661
371	982	1658
372	985	1656
373	988	1654
374	991	1651
375	993	1649
376	996	1646
377	999	1644
378	1002	1641
379	1004	1639
380	1007	1636
381	1009	1633
382	1012	1631
383	1015	1628
384	1018	1626
385	1020	1623
386	1023	1620
387	1025	1617
388	1028	1614
389	1030	1612
390	1033	1609
391	1035	1606
392	1038	1603
393	1040	1601
394	1043	1598
395	1045	1595
396	1048	1592
397	1050	1589
398	1053	1586
399	1055	1583
400	1058	1580
401	1060	1577
402	1063	1574
403	1065	1571
404	1067	1568
405	1069	1564
406	1071	1561
407	1074	1558
408	1076	1555
409	1078	1552
410	1080	1549
411	1083	1545
412	1085	1542
413	1087	1539
414	1089	1536
415	1091	1532
416	1094	1529
417	1096	1526
418	1098	1523
419	1100	1520
420	1102	1516
421	1104	1513
422	1107	1510
423	1109	1506
424	1111	1503
425	1113	1500
426	1116	1497
427	1118	1494
428	1120	1491
429	1122	1487
430	1124	1484
431	1126	1481
432	1128	1478
433	1130	1474
434	1133	1472
435	1135	1469
436	1138	1466
437	1140	1463
438	1142	1460
439	1144	1456
440	1146	1453
441	1149	1450
442	1151	1447
443	1153	1444
444	1155	1441
445	1157	1437
446	1159	1435
447	1162	1431
448	1164	1428
449	1166	1425
450	1168	1422
451	1170	1419
452	1172	1416
453	1175	1413
454	1177	1410
455	1179	1407
456	1181	1404
457	1184	1401
458	1186	1398
459	1188	1394
460	1190	1392
461	1193	1389
462	1196	1387
463	1198	1384
464	1201	1382
465	1203	1379
466	1206	1377
467	1209	1374
468	1211	1372
469	1214	1369
470	1216	1366
471	1219	1363
472	1221	1361
473	1223	1358
474	1226	1355
475	1229	1353
476	1231	1350
477	1233	1347
478	1236	1344
479	1239	1342
480	1241	1339
481	1244	1336
482	1246	1334
483	1248	1331
484	1251	1328
485	1252	1324
486	1255	1322
487	1257	1319
488	1260	1317
489	1262	1314
490	1265	1311
491	1267	1308
492	1269	1305
493	1272	1303
494	1274	1300
495	1277	1297
496	1279	1294
497	1281	1292
498	1283	1288
499	1285	1285
500	1288	1283
501	1290	1279
502	1293	1277
503	1296	1275
504	1298	1272
505	1300	1270
506	1304	1267
507	1306	1265
508	1309	1263
509	1312	1260
510	1314	1258
511	1316	1255
512	1320	1253
513	1323	1251
514	1325	1248
515	1327	1245
516	1330	1242
517	1332	1239
518	1336	1238
519	1338	1235
520	1341	1233
521	1343	1230
522	1345	1227
523	1348	1224
524	1351	1222
525	1354	1220
526	1356	1217
527	1359	1214
528	1361	1212
529	1366	1211
530	1369	1209
531	1372	1207
532	1374	1204
533	1376	1201
534	1379	1198
535	1382	1196
536	1384	1193
537	1387	1191
538	1390	1189
539	1393	1187
540	1397	1185
541	1399	1182
542	1401	1179
543	1404	1177
544	1406	1174
545	1409	1171
546	1412	1170
547	1415	1167
548	1417	1164
549	1420	1162
550	1422	1158
551	1424	1156
552	1428	1154
553	1430	1151
554	1433	1149
555	1435	1146
556	1437	1143
557	1440	1141
558	1444	1139
559	1446	1136
560	1448	1133
561	1451	1131
562	1453	1128
563	1457	1126
564	1459	1123
565	1462	1121
566	1464	1118
567	1467	1116
568	1469	1113
569	1473	1111
570	1475	1108
571	1478	1106
572	1480	1103
573	1483	1101
574	1486	1098
575	1489	1096
576	1491	1093
577	1494	1091
578	1496	1088
579	1499	1085
580	1501	1082
581	1504	1080
582	1507	1078
583	1509	1075
584	1511	1072
585	1514	1069
586	1516	1067
587	1519	1064
588	1522	1062
589	1524	1059
590	1526	1056
591	1529	1053
592	1531	1051
593	1534	1049
594	1537	1046
595	1540	1043
596	1542	1041
597	1545	1038
598	1547	1036
599	1550	1033
600	1552	1031
601	1555	1028
602	1558	1025
603	1560	1023
604	1563	1020
605	1565	1017
606	1568	1015
607	1570	1012
608	1572	1009
609	1574	1006
610	1577	1004
611	1580	1001
612	1582	998
613	1584	996
614	1586	993
615	1588	990
616	1591	987
617	1594	985
618	1597	982
619	1599	980
620	1602	977
621	1604	975
622	1607	972
623	1610	970
624	1612	967
625	1614	964
626	1616	961
627	1619	959
628	1620	956
629	1623	953
630	1626	951
631	1629	948
632	1631	946
633	1634	943
634	1636	940
635	1639	938
636	1641	935
637	1643	932
638	1646	929
639	1648	927
640	1650	924
641	1652	921
642	1655	919
643	1657	916
644	1660	913
645	1662	910
646	1664	908
647	1666	905
648	1669	902
649	1671	900
650	1673	897
651	1675	894
652	1678	891
653	1680	889
654	1682	886
655	1685	883
656	1687	881
657	1690	878
658	1692	875
659	1694	873
660	1697	870
661	1699	867
662	1701	865
663	1704	862
664	1707	860
665	1709	857
666	1712	854
667	1715	852
668	1717	849
669	1720	847
670	1722	844
671	1725	842
672	1728	839
673	1730	837
674	1733	834
675	1735	831
676	1738	829
677	1740	826
678	1742	823
679	1745	821
680	1747	818
681	1749	815
682	1752	813
683	1754	810
684	1756	807
685	1759	805
686	1761	802
687	1764	799
688	1766	797
689	1768	794
690	1770	791
691	1773	789
692	1775	786
693	1777	783
694	1780	781
695	1782	778
696	1784	775
697	1786	773
698	1789	770
699	1791	767
700	1794	765
701	1796	762
702	1799	760
703	1801	757
704	1803	754
705	1806	752
706	1808	749
707	1811	746
708	1813	744
709	1815	741
710	1817	738
711	1820	736
712	1822	733
713	1824	730
714	1826	728
715	1829	725
716	1831	722
717	1833	720
718	1836	717
719	1838	714
720	1840	712
721	1843	709
722	1845	707
